text,label
"Aap ka OTP 1350 hai, kisi ko mat batana.",1
"Assalam o Alaikum, kia haal hai?",0
"Sorry, main kal nahi aa sakunga, tabiyat theek nahi hai.",0
"Urgent: Aapka ATM card block ho gaya hai, verify karne k liye PIN reply karein.",1
"Aapka WhatsApp number block hone wala hai, is number par call karein.",1
Aap ka bank account band ho ga. Apna PIN abhi update karein is link par.,1
"Urgent: Aapka ATM card block ho gaya hai, verify karne k liye PIN reply karein.",1
"Bhai, market se aate hue doodh aur dahi lete aana.",0
Aap ka bank account band ho ga. Apna PIN abhi update karein is link par.,1
Aapne email check ki? Main ne files bhej di hain.,0
"Sorry, main kal nahi aa sakunga, tabiyat theek nahi hai.",0
"Mubarak ho! Aap ka number lucky draw mein select hua hai, 500000 jeetne ke liye abhi call karein.",1
"Jeeto Pakistan se aapne 10 tola sona jeeta hai, tax pay karne ke liye 10000 easy paisa karein.",1
Kya kal university open hai ya chutti hai?,0
Kahan pohnchay? Main kab se wait kar raha hun.,0
"Assalam o Alaikum, kia haal hai?",0
"Kal meeting 10 baje hai, time par aa jana.",0
"Mubarak ho! Aap ka number lucky draw mein select hua hai, 500000 jeetne ke liye abhi call karein.",1
"Urgent: Aapka ATM card block ho gaya hai, verify karne k liye PIN reply karein.",1
"Dear customer, aapka BISP ka wazifa approve ho gaya hai, apni details bhejein.",1
"Assalam o Alaikum, kia haal hai?",0
Aapne email check ki? Main ne files bhej di hain.,0
"Kal meeting 10 baje hai, time par aa jana.",0
"Main Pakistan Army se bol raha hun, aap ka beta accident mein hai, foran paisay bhejein.",1
"Aaj raat match dekhein ge, sab doston ko bula lo.",0
Jumma Mubarak! Duaon mein yaad rakhna.,0
"Main Pakistan Army se bol raha hun, aap ka beta accident mein hai, foran paisay bhejein.",1
"Sorry, main kal nahi aa sakunga, tabiyat theek nahi hai.",0
"Kal meeting 10 baje hai, time par aa jana.",0
"Assalam o Alaikum, kia haal hai?",0
"Dear customer, aapka BISP ka wazifa approve ho gaya hai, apni details bhejein.",1
"Bhai, market se aate hue doodh aur dahi lete aana.",0
